ESTACION;ALT;LON;LAT;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
BEL;2797;779400;9980085;14,23673387;14,26562438;13,8017994;14,07283218;14,38741655;13,97778646;14,0603461;14,27665715;14,26439757;13,83735663;13,72375521;14,10632728
CAR;2659;784166;9989120;14,95924227;14,96537946;14,72409554;14,97187847;15,1133927;14,76750347;14,79880712;15,06350358;14,99567188;14,70503024;14,66558681;14,8240541
CEN;2820;777160;9975660;14,51383905;14,53692212;14,17645161;14,43631192;14,79578461;14,34137558;14,50590054;14,70644041;14,648989;14,15520049;14,14232639;14,33171035
COT;2752;778596;9988076;14,20713038;14,22295387;14,01523353;14,28402778;14,44142417;14,05678183;14,0583703;14,34585237;14,19950694;13,91049563;13,92557465;14,14146953
CAM;2922;777171;9972341;14,30878304;14,40736421;14,07245408;14,2814375;14,69703741;14,21836111;14,32307628;14,47795195;14,41738194;13,96735719;13,85475;14,13326669
GUA;3047;772559;9963399;12,46507897;12,56330729;12,19915827;12,35127778;12,64246472;12,19130208;12,15142753;12,35342126;12,43739178;12,09178203;12,10769792;12,29633569
CHI;2467;782739;9966808;16,32665659;16,35794085;16,00985719;16,06075694;16,34901098;15,96767998;16,041292;16,25960013;16,07747917;15,74513273;15,80826736;16,05383121
TUM;2333;789424;9976764;15,41233199;15,43661768;15,35859879;15,63485938;15,64765401;15,15144444;15,21224518;15,6078881;15,54127257;15,31395385;15,25773669;15,24577397
SAN;2456;783243;9997964;16,74746083;16,92899368;16,64197637;16,84287847;17,00386425;16,56849826;16,63300291;16,7655606;16,74492361;16,38078965;16,35213715;16,61647009
Punto 1;451;722728;10031748;23,0031835;23,293755;23,475271;23,555171;23,38399675;22,688357;22,351465;22,27865;22,30794675;22,4184815;22,5404905;22,862173
Punto 2;1863;772754;10031758;15,40875;15,47418475;15,4458765;15,61513175;15,78526125;15,36116925;15,30556625;15,342615;15,363611;15,16115725;15,05123275;15,36705575
Punto 3;2565;822555;10031770;12,04265625;12,407622;12,3090795;12,1796045;12,078562;11,26888425;10,73964825;10,65365;11,216638;11,71584475;12,20797125;12,05686025
Punto 4;718;722730;9981982;20,3953515;20,66547375;20,8281225;21,02595225;20,95928475;20,25521225;19,94326175;19,8997435;19,87240025;19,9272705;20,01363525;20,31896975
Punto 6;3859;822558;9981970;9,785371;10,09367675;10,07146225;9,94472175;9,66819075;8,74837625;8,10830075;7,90316175;8,414392;9,13918475;9,9101195;9,8066065
Punto 7;2435;722718;9932107;17,93140625;18,18676275;18,37175525;18,5589015;18,50317125;17,841638;17,517969;17,379724;17,29622825;17,45070825;17,49019775;17,856255
Punto 8;3711;772742;9932086;11,00312475;11,268208;10,884529;11,1228075;11,325476;10,56527075;10,337793;10,572107;10,90560325;10,81057125;12,2743775;11,03305175
Punto 9;4072;822541;9932061;11,97775375;12,2876415;11,84886475;12,18978025;11,885593;11,00423575;10,445215;10,294275;10,77376725;11,39357875;12,026819;12,05701675
